,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,,,,,,,
#,MansionTax,default,,,26,19,12,14,TAX,,8,8.5,0+(1.0*x),,2,125,1000,0+(1.0*x),"Wealthy_perc,0.75+(0.5*x)",,#Effects,"Wealthy,-0.1-(0.15*x)","Retired,-0.8*(x^8)","Equality,0.28*(x^5)","Socialist,0.06+(0.08*x)","_HighIncome,-0.05-(0.1*x)",,,,,,,,,,,,
#,MarriedTaxAllowance,marriedtax,,,21,21,14,9,TAX,,25,1300,0+(1.0*x),"GDP,0.25+(0.75*x)",1,0,0,0+(1.0*x),,,#Effects,"Religious,0.1+(0.2*x)","Conservatives,0.07+(0.10*x)","Parents,0.02+(0.03*x)","_global_liberalism,-0.04-(0.04*x),12","Religious_income,0.05+(0.05*x)",,,,,,,,,,,,
#,MarsProgram,marsprogram,,,30,28,24,12,ECONOMY,,1000,3050,0+(1.0*x),"_default_,1.0;Technology,-0.15*(x^1.5)",26,0,0,0+(1.0*x),,,#Effects,"Patriot,0.05+(0.20*x)","Patriot_freq,0.05+(0.15*x)","Unemployment,-0.04-(0.12*x)","StateEmployees,0.035+(0.075*x)","Technology,0+(0.14*x),16","Religious_freq,-0.02-(0.06*x),20",,,,,,,,,,,
#,MaternityLeave,maternityleave,,,13,18,8,8,ECONOMY,,0,500,1.0*(x^4),,1,0,0,0+(1.0*x),,,#Effects,"Parents,0.07+(0.15*x)","WorkerProductivity,-0.05-(0.07*x)","Parents_income_fixed,500+(9000*x)","Parents_freq,0.025+(0.04*x),4","TradeUnionist,0.06+(0.05*x)","Population,0.03+(0.03*x),4","GenderEquality,0.1+(0.32*x)",,,,,,,,,,
#,MicrogenerationGrants,default,,,10,10,3,8,TAX,,25,275,0+(1.0*x),"GDP,0.25+(0.75*x)",2,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.02+(0.05*x)","EnergyEfficiency,0.01+(0.11*x),4","Environmentalist_income,0.02+(0.05*x)","Environmentalist_freq,0.02+(0.06*x)","CO2Emissions,-0.01-(0.04*x),8","Environment,0.02+(0.04*x),8",,,,,,,,,,,
#,MilitarySpending,militaryspending,UNCANCELLABLE,,0,0,10,22,FOREIGNPOLICY,,250,5037.5,0+(1.0*x),"_default_,1.0;Wages,-0.1+(0.2*x);Corruption,0.06*(x^4)",10,0,0,0+(1.0*x),,,#Effects,"Patriot,-0.35+(0.62*x)","Unemployment,0.00-(0.08*x)","StateEmployees,0.00+(0.23*x)","_Terrorism,0-(0.2*x),4","StateEmployees_freq,-0.02+(0.04*x)","StateEmployees_income_fixed,-1000+(6500*x)","Liberal,-0.10*(x^4)","Technology,0.09*(x^6.2)",,,,,,,,,
#,MinimumWage,default,,,22,30,14,22,ECONOMY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"_LowIncome_fixed,3000+(4000*x)","PovertyRate,-0.05-(0.05*x)","Unemployment,0.04*(x^2),8","Capitalist,-0.13*(x^2)","Equality,0.06*(x^4)","Socialist,0.08+(0.10*x)","Uncompetitive Economy,0.12*(x^2),2","CorporateExodus,0.10*(x^2),4","_global_socialism,0.02+(0.04*x),5","Wages,0.04+(0.12*x)",,,,,,,
#,Monorail,monorail,,,14,14,9,9,TRANSPORT,,350,2250,0+(1.0*x),,16,0,0,0+(1.0*x),,,#Effects,"CarUsage,-0.06-(0.10*x),2","Commuter,0.12+(0.15*x)","Unemployment,0-(0.05*x)","AirTravel,-0.05*(x^5)","InternationalTrade,0.04*(x^5)","WorkerProductivity,0.06*(x^3)","RailUsage,0.12*(x^6),4",,,,,,,,,,
#,MortgageTaxRelief,default,,,15,22,11,26,TAX,,50,230,0+(1.0*x),"GDP,0.25+(0.75*x)",1,0,0,0+(1.0*x),,,#Effects,"MiddleIncome,0.1+(0.18*x)","Socialist,-0.06-(0.07*x)","Poor,-0.07-(0.06*x)","_MiddleIncome,0+(0.09*x)","GenerationalWealthGap,0.05+(0.10*x)",,,,,,,,,,,,
#,Narcotics,narcotics,UNCANCELLABLE,,37,37,32,24,LAWANDORDER,,0,0,0+(1.0*x),,5,0,0,0+(1.0*x),,,#Effects,"Liberal,0.2*(x^2)-0.05","Parents,-0.15*(x^2)","CrimeRate,0.2*(x^2)","Conservatives,-0.2*(x^2)","LegalDrugConsumption,0.8*(GDP+0.2)*x","_global_liberalism,0.23*(x^1.4)-0.11,8","Young,0.1*(x^2)-0.04","Organised Crime,-0.35*(x^2)+0.07,2","Tourism,0.04*(x^4),2",,,,,,,,
#,Nationalanthematstartofnews,nationalnewsanthems,,,18,10,8,8,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Patriot,0.08+(x*0.04)","ForeignRelations,-0.015-(x*0.015),2","Patriot_freq,0.06+(x*0.14),16",,,,,,,,,,,,,,
#,Nationalanthemsinschool,anthemsinschool,,,20,14,9,9,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Patriot,0.02+(x*0.06)","Young,-0.02-(x*0.05)","Patriot_freq,0.02+(x*0.08),24",,,,,,,,,,,,,,
#,NationalArmedForcesWeek,default,,,2,8,6,6,LAWANDORDER,,10,30,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Patriot,0.02+(0.03*x)","Patriot_freq,0+(0.1*x),16",,,,,,,,,,,,,,,
#,NationalBusinessCouncil,default,,,2,2,2,2,ECONOMY,,10,40,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Capitalist,0.02+(0.04*x)","GDP,0.01+(0.01*x),24","_global_socialism,0-(0.03*x),20",,,,,,,,,,,,,,
#,NationalService,nationalservice,,,50,45,31,19,FOREIGNPOLICY,,25,250,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.10-(0.02*x)","Patriot,0.15+(0.03*x)","Conservatives,0.20+(0.24*x)","Young,-0.20-(0.02*x)","Patriot_freq,0.10+(0.06*x)","Unemployment,0-(0.03*x)",,,,,,,,,,,
#,NeedleExchangeProgram,default,,,12,12,2,2,LAWANDORDER,,5,30,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Liberal,0.02+(0.02*x)","Conservatives,0-(0.03*x)","Health,0+(0.04*x),4",,,,,,,,,,,,,,
#,Newcarsubsidies,default,,,14,16,9,9,TRANSPORT,,15,200,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Motorist,0.05+(x*0.13)","OilDemand,_inv_ElectricCarTransition*(x*-0.03)-0.02,4","Motorist_income_fixed,250+(x*2750),4","CarUsage,0.02+(x*0.02),4","CO2Emissions,_inv_ElectricCarTransition*(-0.02*x)-0.01,4","Environment,0.02+(0.02*x),4","AsthmaEpidemic,_inv_ElectricCarTransition*(-0.02*x)-0.02,4","GDP,0.01+(0.01*x),2",,,,,,,,,
#,NuclearFission,nuclearfission,UNCANCELLABLE,,0,0,13,13,ECONOMY,_prereq_nuclear_tech,0,450,1.0*(x^4),,12,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.08-(x^3.4)*0.22,4","GDP,-0.03+(x^4)*0.06","OilDemand,0.04-(x^4)*0.08","CO2Emissions,-0.1*(x^4)","PrivateEnergy,-0.05+(0.1*x),12",,,,,,,,,,,,
#,OilDrillingSubsidy,default,,,36,8,21,7,ECONOMY,,50,8025,0+(1.0*x),"GDP,0.75+(0.25*x)",1,0,0,0+(1.0*x),,,#Effects,"Environmentalist,-0.1-(0.35*x)^2","GDP,0+(0.04*x),12","OilSupply,0.06+(0.1*x),4","CO2Emissions,0.04+(0.06*x)","ForeignInvestment,0.03+(0.03*x),2","Environmentalist_freq,-0.38*(x^2)+0.05,2",,,,,,,,,,,
#,OneChildPolicy,childpolicy,,,40,12,30,12,WELFARE,,0,0,0+(1.0*x),,8,0,12.5,0+(1.0*x),,,#Effects,"Religious,-0.2*(x^0.8)","Parents,-0.25-(0.2*x)","Unemployment,0.0-(0.13*x),24","Parents_freq,0.0-(0.25*x),9","Liberal,-0.15*(x^0.6)","Population,-0.05-(0.1*x),16","_global_liberalism,-0.10*(x^2)-0.03,16",,,,,,,,,,
#,OrganDonation,organdonation,,,13,13,10,8,PUBLICSERVICES,,2,2.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Health,0.05+(0.06*x),8","Religious,-0.08-(0.025*x)","Lifespan,0.02+(0.04*x),8",,,,,,,,,,,,,,
#,OrganicSubsidy,default,,,15,18,10,10,ECONOMY,,47.5,200,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.01+(0.06*x)","Farmers,0.02+(0.13*x)","Capitalist,-0.05-(0.02*x)","Health,0.02+(0.05*x),8","Farmers_income,0+(0.06*x)","Environmentalist_income,0+(0.05*x)","FoodPrice,-0.02-(0.06*x)","Watershortage,-0.02-(0.04*x)",,,,,,,,,
#,PayrollTax,default,,,11,5,10,6,TAX,,0,0,0+(1.0*x),,1,775,10500,0+(1.0*x),,,#Effects,"Capitalist,-0.03-(0.04*x)","SelfEmployed,-0.04-(0.08*x)","Uncompetitive Economy,0.01+(0.08*x),2","GigEconomy,0.05+(0.05*x),2","IndustrialAutomation,0.03+(0.07*x),8","Socialist,0.01+(0.02*x)","Wages,0-(0.12*x)","GDP,-0.15*(x^5),1",,,,,,,,,
#,PetrolTax,tax,,,49,28,43,12,TAX,,0,0,0+(1.0*x),,1,212.5,3511.25,0+(1.0*x),"CarUsage,x*(1.0-ElectricCarTransition)",,#Effects,"CarUsage,-0.4*(1.0-ElectricCarTransition)*x,4","Motorist,0.00-(x^5)","Environmentalist,0.00+(0.12*x)","GDP,-0.13*(x^7),2","Motorist_income_fixed,0-(5050*x)*CarUsage","Motorist_freq,-0.16*(1.0-ElectricCarTransition)*x","Farmers,0-(0.04*x)",,,,,,,,,,
#,PhoneTapping,phonetapping,,,26,16,22,9,LAWANDORDER,,2.5,10,0+(1.0*x),,3,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.1-(0.25*x)","CrimeRate,-0.06*(x^0.8)-0.03,6","_Terrorism,-0.05-(0.15*x)","_security_,(0.075+0.1*x)","Corruption,0-(0.15*x)","_global_liberalism,-0.12*(x^2)-0.03,8",,,,,,,,,,,
#,PlasticBagTax,default,,,4,1,1,0,TAX,,1.5,1.75,0+(1.0*x),,1,1.4375,17.5375,0+(1.0*x),,,#Effects,"Environmentalist,0.01+(0.02*x)","Capitalist,-0.02-(0.02*x)",,,,,,,,,,,,,,,
#,PoliceDrones,default,,,16,6,3,3,LAWANDORDER,,125,350,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.1-(0.1*x)","CrimeRate,-0.04*(x^0.8)-0.04,2","ViolentCrimeRate,-0.04*(x^0.8)-0.02","_security_,0.03+(0.03*x)","_Terrorism,-0.1-(0.03*x)","Conservatives,0.02+(0.04*x)",,,,,,,,,,,
#,PoliceForce,default,UNCANCELLABLE,,25,37,4,21,LAWANDORDER,,75,580,0+(1.0*x),"_default_,1.0;Wages,-0.1+(0.2*x)",6,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.30*(x^0.6),6","ViolentCrimeRate,-0.36*(x^0.6),4","Conservatives,-0.2+(0.48*x)","StateEmployees,-0.15+(0.37*x)","StateEmployees_freq,-0.01+(0.03*x)","StateEmployees_income_fixed,-2000+(8500*x)","Unemployment,0-(0.04*x)","Corruption,0-(0.15*x)",,,,,,,,,
#,PollutionControls,pollutioncontrols,,,6,6,3,3,ECONOMY,,2.5,6,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.03+(0.05*x),2","Capitalist,-0.02-(0.08*x)","Environment,0.1+(0.2*x),12","GDP,0-(0.05*x),4","CO2Emissions,-0.01-(0.07*x),12",,,,,,,,,,,,
#,PressFreedom,default,UNCANCELLABLE,,0,0,12,37,LAWANDORDER,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Democracy,0.25-(x+1.25)^-3,8","Corruption,0-(x^6)*0.1,16","Liberal,-0.15+(0.25*x)","_All_,0+(x+1.06)^-20","_security_,-0.05*(x^10)","_global_liberalism,0.11*(x^2)+0.03,14",,,,,,,,,,,
#,PrisonerTagging,default,,,14,14,8,4,LAWANDORDER,,4,8,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.10-(0.12*x)","CrimeRate,-0.06*(x^0.8)-0.03,6","ViolentCrimeRate,-0.08*(x^0.8)-0.05", ,,,,,,,,,,,,,
#,PrisonerVoting,default,,,22,9,12,7,LAWANDORDER,,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Conservatives,-0.07-(0.03*x)","Liberal,0.03+(0.02*x)","Democracy,0.01+(0.02*x)",,,,,,,,,,,,,,
#,PrisonRegime,prisonregime,UNCANCELLABLE,,1,1,9,9,LAWANDORDER,,187.5,0,0+(1.0*x),"CrimeRate,0+(0.5*x);ViolentCrimeRate,0+(0.5*x)",4,0,0,0+(1.0*x),,,#Effects,"Liberal,0.1-(0.2*x)","Conservatives,-0.1+(0.2*x)","CrimeRate,-0.09+(0.18*x),16","CrimeRate,-0.03-(0.07*x)","_percept_compassion,0.12-(0.24*x)","_global_liberalism,0.07-(0.14*x),4","Education,0.04-(0.08*x),12",,,,,,,,,,
#,Prisons,prisons,UNCANCELLABLE,,13,20,8,9,LAWANDORDER,,25,480,0+(1.0*x),"_default_,0.1;CrimeRate,0+(0.45*x);ViolentCrimeRate,0+(0.45*x)",6,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.05*(x^0.8),15","Liberal,0.12*(x^4)","Conservatives,0.00+(0.12*x)","StateEmployees,0+(0.15*x)",,,,,,,,,,,,,
#,PrivatePrisons,default,,,20,3,8,3,LAWANDORDER,,20,380,0+(1.0*x),"_default_,0.1;CrimeRate,0+(0.45*x);ViolentCrimeRate,0+(0.45*x)",5,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.05*(x^0.8),15","Liberal,-0.05+(x^2)*0.11","Conservatives,0.00+(0.12*x)",,"Unemployment,0-(0.02*x)","Capitalist,0+(0.11*x)","TradeUnionist,-0.03-(0.04*x)","_global_socialism,-0.02-(0.02*x),2",,,,,,,,,
#,PropertyTax,tax,,,37,33,22,12,TAX,,0,0,0+(1.0*x),,2,287.5,3162.5,0+(1.0*x),"GDP,0.5+(0.5*x)",,#Effects,"_MiddleIncome,0-(0.025*x)","_HighIncome,-0.14*(x^2)","Socialist,0+(0.12*x)","Capitalist,0-(0.15*x)","Equality,0+(0.15*x)","MiddleIncome,0-(0.32*x)","Wealthy,0-(x^11)*0.8","Retired,0-(0.28*x)", ,,,,,,,,
#,ProportionalFines,default,MULTIPLYINCOME,,16,14,6,6,LAWANDORDER,,1,1,0+(1.0*x),,1,1,55,0+(1.0*x),"Wealthy_perc,0.1+(0.9*x)",,#Effects,"_HighIncome,-0.01*(x^2)","Equality,0+(0.06*x)","Wealthy,-0.15*(x^2)","Poor,0.04*(x^2)","Socialist,0+(0.04*x)","_global_socialism,0.01+(0.03*x),4","Capitalist,-0.06*(x^2.2)",,,,,,,,,,
#,PublicLibraries,default,,,10,21,7,10,PUBLICSERVICES,,12.5,200,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Education,0.02+(0.04*x),12","Equality,0.02+(0.02*x),4","Retired,0.03+(0.03*x)",,,,,,,,,,,,,,
#,Publicreligiousbroadcasts,religiousbroadcasts,,,16,14,9,9,PUBLICSERVICES,,5,27.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.06+(x*0.12)","Liberal,-0.08-(x*0.19)","Religious_freq,0.03+(x*0.1),16","RacialTension,0.05+(x^2)*0.15,4",,,,,,,,,,,,,
#,Publictaxreturns,taxreturns,,,14,9,8,8,TAX,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Wealthy,-0.08*(x^2)","Equality,0.03*(x^0.5),8","Liberal,-0.04-(0.02*x)","TaxEvasion,-0.05-(0.1*x),4","BlackMarket,-0.1-(0.10*x),2","Socialist,0.02+(0.02*x)","Corruption,-0.08-(0.11*x)",,,,,,,,,,
#,Punitivetaxonsuperstores,tax,,,13,11,7,7,TAX,,0,0,0+(1.0*x),,1,100,1250,0+(1.0*x),"GDP,0.5+(0.5*x);",,#Effects,"Capitalist,-0.04-(x*0.09)","GDP,-0.01-(x*0.01),4","SelfEmployed,0.06+(x*0.12)","SelfEmployed_freq,0.04+(x*0.08),8","CarUsage,-0.03-(x*0.03),8","Environmentalist,0.01+(0.03*x)","Socialist,0.02+(0.06*x)",,,,,,,,,,
#,Punitivewealthtax,tax,MULTIPLYINCOME,,22,12,13,13,TAX,,0,0,0+(1.0*x),,1,30,1700,0+(1.0*x),"GDP,0.5+(0.5*x);Wealthy_perc,0.5+(0.5*x)",,#Effects,"Wealthy,-0.02-(x*0.81)^2","Capitalist,-0.09*(x^2)","Socialist,0.18*(x^2)","BrainDrain,0.15*(x^2),4","_global_socialism,0.065*(x^2),8","_HighIncome,0-(x*0.55)","CorporateExodus,0+(0.2*x),8",,,,,,,,,,
#,QuantitativeEasing,default,,,12,16,8,8,ECONOMY,_prereq_sovereign_currency,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Inflation,0.78*(x^4),8","Capitalist,0.12+(0.08*x)","Wealthy,0.1+(0.1*x)","_HighIncome,0.05+(0.05*x)","GDP,0.03+(0.06*x),1","CurrencyStrength,-0.08*(x^2)",,,,,,,,,,,
#,RaceDiscriminationAct,default,,,2,26,1,12,LAWANDORDER,,1.25,2.25,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"RacialTension,0-(0.14*x)","Liberal,0.1+(0.03*x)","EthnicMinorities,0.2+(0.1*x)","Conservatives,-0.05*(x^4)","_global_liberalism,0+(0.12*x),8",,,,,,,,,,,,
#,RacialProfiling,default,,,32,16,21,9,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.08*(x^0.8),2","ViolentCrimeRate,-0.05*(x^0.8)","Liberal,-0.06-(0.06*x)","RacialTension,0.2+(0.1*x)","_Terrorism,-0.04-(-0.05*x)",,,,,,,,,,,,
#,RareEarthRefinement,rareearth,,,32,8,19,7,ECONOMY,,62,1820,0+(1.0*x),"GDP,0.75+(0.25*x);Technology,0.0-(0.25*x)",16,0,0,0+(1.0*x),,,#Effects,"Environmentalist,-0.15*(x^1.3)","WorkerProductivity,0+(0.05*x)","Patriot,0.05+(0.01*x)","Technology,0+(0.04*x)","Pollution,0+(0.2*x),4","Capitalist,0.1+(0.1*x)",,,,,,,,,,,
#,RecreationalDrugsTax,default,,,8,8,6,6,TAX,,0,0,0+(1.0*x),,1,0,1300,0+(1.0*x),"LegalDrugConsumption,0+(1.0*x)",,#Effects,"Young,-0.08*(LegalDrugConsumption*x)","Poor,-0.05*(LegalDrugConsumption*x)","PovertyRate,0.06*(LegalDrugConsumption*x)","LegalDrugConsumption,-0.1*(x^2))",,,,,,,,,,,,,
#,Recycling,recycling,,,13,18,4,4,ECONOMY,,10,100,0+(1.0*x),,5,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.04+(0.09*x),2","Environment,0.01+(0.04*x)","Environmentalist_freq,0.02+(0.08*x),12",,,,,,,,,,,,,,
#,Reforestation,reforestation,,,7,12,8,12,PUBLICSERVICES,,1.25,125,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0+(0.11*x)","Pollution,-0.05-(0.05*x),16","CO2Emissions,-0.01-(0.06*x),16","Unemployment,-0.01-(0.04*x)","AsthmaEpidemic,-0.03-(0.10*x),4","Environment,0.04+(0.07*x),12",,,,,,,,,,,
#,RentControls,default,,,4,18,8,12,WELFARE,,2.5,3,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"PovertyRate,-0.03-(0.03*x)","Socialist,0.04+(0.04*x)","Capitalist,-0.1-(0.2*x)","PrivateHousing,-0.1-(0.15*x)","_LowIncome,0.03+(0.06*x)","Capitalist_income,-0.09-(0.04*x)",,,,,,,,,,,
#,RetirementAge,retirement,UNCANCELLABLE,,0,0,16,4,ECONOMY,,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"WorkerProductivity,-0.1+(0.25*x)","TradeUnionist,0.06-(0.14*x)","Retired,0.12-(0.30*x)","Retired_freq,0.04-0.08*x)","Unemployment,0+(0.1*x),4",,,,,,,,,,,,
#,RightToDie,righttodie,,,11,20,13,9,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,-0.11-(0.13*x)","Conservatives,-0.08-(0.1*x)","Retired,0.06+(0.08*x)","HealthcareDemand,-0.05*(x^2)","Liberal,0.09+(0.07*x)","Population,-0.01-(0.02*x)","_global_liberalism,0.14*(x^2)+0.02,14","_percept_compassion,0.03-(0.05*x)",,,,,,,,,
#,RightToPrivacy,righttoprivacy,,MandatoryMicrochipImplant,8,8,7,7,LAWANDORDER,,0.5,1,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,0.10+(0.11*x)","GDP,-0.01-(0.02*x)","_global_liberalism,0.12*(x^2)+0.04,14","Capitalist,-0.02-(0.02*x)",,,,,,,,,,,,,
#,RoadBuilding,roadbuilding,UNCANCELLABLE,,30,30,21,21,TRANSPORT,,25,1275,0+(1.0*x),,16,0,0,0+(1.0*x), ,,#Effects,"Motorist,-0.25+(0.55*x),4","Environmentalist,0.16-(0.40*x)","CarUsage,0+(0.29*x),4","TrafficCongestion,-0.38*(x^1.2)","Unemployment,0-(0.05*x)", ,,,,,,,,,,,
#,RoboticsResearch,default,,,6,7,1,3,ECONOMY,,25,525,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Technology,0.01+(0.05*x),16","WorkerProductivity,0.02+(0.1*x),16","Unemployment,0-(0.06*x),2","TradeUnionist,-0.06-(0.1*x)","Unemployment,0+(0.19*x),20",,,,,,,,,,,,
#,RubberBullets,default,,,24,9,7,3,LAWANDORDER,,12.5,25,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.19-(0.08*x)","InnerCityRiots,-0.12+(0.12*x)","ClassWarfare,-0.09-(0.09*x)","RaceRiots,-0.10-(0.11*x)","LudditeRiots,-0.10-(0.1*x)","EnvironmentalProtests,-0.10-(0.1*x)","_percept_compassion,-0.03-(0.07*x)",,,,,,,,,,
#,RuralDevelopmentGrants,default,,,13,13,9,11,ECONOMY,,50,600,0+(1.0*x),,6,0,0,0+(1.0*x),,,#Effects,"_LowIncome,0.02+(0.13*x)","Unemployment,0.00-(0.15*x)","Equality,0.00+(0.14*x)","Farmers,0.06+(0.18*x)","GDP,0.00+(0.05*x),6","Farmers_freq,0.01+(0.05*x),8","CarUsage,0.05*(x^2)","RailUsage,0.08*(x^2)",,,,,,,,,
#,SalesTax,salestax,MULTIPLYINCOME,,37,21,31,10,TAX,,0,0,0+(1.0*x),,1,143.75,15433,0+(1.0*x),"GDP,0.2+(0.8*x)",,#Effects,"PovertyRate,0.00+(0.20*x)","SelfEmployed,0.00-(0.21*x)","Capitalist,0.00-(0.15*x)","Equality,-0.02-(0.32*x)","_LowIncome,0-(0.07*x)","_MiddleIncome,0-(0.11*x)","_HighIncome,0-(0.11*x)","GDP,-0.15*(x^4),1",,,,,,,,,
#,SateliteRoadPricing,default,,,45,21,31,16,TRANSPORT,,625,500,0+(1.0*x),,16,0,1753.75,0+(1.0*x),"CarUsage,0+(1.0*x)",,#Effects,"CarUsage,-0.25*(x^4),4","Motorist,-0.08-(0.06*x)","Environmentalist,0.01+(0.03*x)","Motorist_income_fixed,-50-(3500*x)","Capitalist,0.05+(0.02*x)",,,,,,,,,,,,
#,SchoolBuses,default,,,14,21,8,12,TRANSPORT,,62.5,130,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Parents,0.07+(0.07*x)","BusUsage,0.05+(0.15*x),2",,,,,,,,,,,,,,,
#,SchoolPrayers,schoolprayers,,,22,18,9,9,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.05+(0.15*x)","Liberal,-0.05-(0.05*x)","Religious_freq,0.04+(0.25*x),32","RacialTension,0.1+(0.11*x),2",,,,,,,,,,,,,
#,SchoolTaxCredits,default,,,19,15,9,9,TAX,,50,1250,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"PrivateSchools,0+(0.4*x),2","_MiddleIncome,0+(0.06*x)","_HighIncome,0+(0.04*x)","Wealthy,0.02+(0.06*x)","MiddleIncome,0.04+(0.06*x)","Socialist,-0.01-(0.05*x)","Poor,-0.01-(0.05*x)","Capitalist,0.02+(0.04*x)",,,,,,,,,
#,SchoolVouchers,default,,,9,14,8,10,PUBLICSERVICES,,160,5400,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"PrivateSchools,0+(0.6*x),2","Equality,0.05*(x^3),8","PovertyRate,-0.05*(x^3),8","_global_socialism,-0.01-(0.12*x),8","_All__income_fixed,500+(2500*x)","Capitalist,0.02+(0.05*x)",,,,,,,,,,,
#,ScienceFunding,sciencefunding,UNCANCELLABLE,,10,20,7,9,PUBLICSERVICES,,21.25,1180,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Technology,-0.10+(0.19*x),16","EnergyEfficiency,-0.1+(0.2*x),12","GDP,0.07*(x^0.75),20","StateEmployees,-0.15+(0.3*x)","StateEmployees_freq,-0.05+(0.1*x)","Unemployment,0-(0.03*x)",,,,,,,,,,,
#,SecretCourts,secretcourts,,,38,14,12,12,LAWANDORDER,,7.5,25,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.1+(x^2)*-0.25","CrimeRate,-0.02+(x^0.7)*-0.07,4","_Terrorism,-0.03+(x^2)*-0.14,4","ForeignRelations,-0.05+(x^2)*-0.11,4","Organised Crime,-0.12*(x^4),2","_global_liberalism,-0.10*(x^2)-0.03,16","_security_,0.03+(0.05*x)",,,,,,,,,,
#,SelectiveSchooling,selectiveschooling,UNCANCELLABLE,,0,0,12,12,PUBLICSERVICES,,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Liberal,0.07-(0.14*x)","Conservatives,-0.07+(0.14*x)","Socialist,0.04-(0.08*x)","Capitalist,-0.04+(0.04*x)","Equality,0.03-(0.06*x),16","_global_socialism,0.03-(0.06*x),16","Education,-0.02+(0.04*x),12","MentalHealth,-0.06*(x^6),16",,,,,,,,,
#,SmallBusinessGrants,default,,,10,14,4,8,ECONOMY,,25,1250,0+(1.0*x),"GDP,0.25+(0.75*x)",2,0,0,0+(1.0*x),,,#Effects,"SelfEmployed,0.10+(0.25*x)","GDP,0.04*(x^0.75)+0.01,8","Capitalist,0+(0.11*x)","_global_socialism,-0.04-(0.1*x),12","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed_income,0.01+(0.15*x)","TradeUnionist_freq,-0.02-(0.04*x),4","Capitalist_income,0+(0.05*x),4",,,,,,,,,
#,SmartMeterProgram,default,,,4,4,1,1,ECONOMY,,30,180,0+(1.0*x),,8,0,0,0+(1.0*x),,,#Effects,"EnergyEfficiency,0+(0.07*x),4","Environmentalist,0.01+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",,,,,,,,,,,,,,
